PubChem CID,P0DMS8,P14416,P21917,P29275,P30542,P35462,Q60613
153637779,500,,,30,500,,
153637782,75,,,10,75,,
153637786,75,,,10,500,,
153637788,500,,,10,500,,
153637790,500,,,30,500,,
153637795,500,,,10,500,,
153637796,500,,,10,500,,
153637798,75,,,30,500,,
153637799,500,,,30,500,,
153637803,500,,,10,500,,
153637804,500,,,10,500,,
153637805,500,,,10,500,,
153637808,75,,,30,500,,
153637814,500,,,30,500,,
153637815,500,,,30,500,,
153637816,75,,,30,500,,
153637817,500,,,10,500,,
153637818,500,,,10,500,,
153637819,75,,,10,500,,
153637820,500,,,30,500,,
153637821,75,,,30,500,,
153637826,500,,,10,500,,
153637827,75,,,10,300,,
153637832,300,,,30,500,,
153637835,500,,,30,500,,
153637836,500,,,10,500,,
153637837,10,,,10,10,,
153637838,500,,,30,500,,
153637843,500,,,10,500,,
153637845,75,,,10,500,,
153637846,500,,,10,500,,
153637847,500,,,30,500,,
153637849,500,,,30,500,,
153637851,500,,,30,500,,
153637852,500,,,30,500,,
153637857,500,,,30,500,,
153637858,75,,,30,75,,
153637862,500,,,30,500,,
153637871,500,,,30,500,,
153637872,500,,,30,500,,
153637873,500,,,30,500,,
153637875,500,,,30,500,,
153637876,500,,,30,500,,
153637885,75,,,10,500,,
153637886,500,,,10,500,,
153637887,75,,,10,75,,
153637889,500,,,30,500,,
153637891,500,,,10,500,,
153637892,300,,,30,500,,
153637893,75,,,10,75,,
153637898,500,,,30,500,,
155210437,5533.5,,,46.35,19,,4.9
155210441,,,,48,16.2,,11
155210450,,,,5801,4046,,90
155210502,,,,83,40,,48
155371223,,,,14,11,,1.2
155371229,,,,4.8,11,,0.4
155530763,,53813.5,5074,,,50000,
156022971,,,,71.6,11.8,,1
156022974,,,,416,54.6,,32.7
156022975,,,,473,34.5,,27.7
162779409,500,,,20,400,,
162779411,30,,,30,500,,
162779426,500,,,20,500,,
162779429,75,,,10,75,,
162779475,30,,,75,500,,
162779484,300,,,30,500,,
162779488,500,,,30,500,,
162779497,300,,,30,500,,
163408067,500,,,75,500,,
163408069,75,,,10,75,,
163408070,500,,,10,500,,
163408071,75,,,30,500,,
163408072,75,,,10,500,,
