PubChem CID,Ligand SMILES
44359441,CC[C@@H]1CC2C[C@H]3C1N(C2)CCc1c3[nH]c2ccc(O)cc12
44461606,CN(C)CCC1CC2N(O1)c1ccccc1Cc1ccccc21
44469273,CCCNCc1ccc(CCn2ccc(OCc3ccc(F)cc3)cc2=O)cc1
44469321,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc21
44469677,CC(=NOC(=O)Nc1ccccc1)c1cccc(c1)-c1cccs1
44631910,Cc1nn(c(Nc2ccccc2C(O)=O)c1-c1cc(F)c2nccnc2c1)-c1ccccc1C
45487384,CCCNCc1ccc(CCn2ccc(OCc3ccc(F)cc3)cc2=O)nc1
52946211,COc1ccc(Nc2c(c(C)nn2-c2ccccc2C)-c2ccc3nccnc3c2)c(c1)C(O)=O
57970302,CCc1nc2c(C)cc(C)nc2n1Cc1ccc(\C=C\CN2CCN(CC2)C(C)C)cc1
60149678,C(Cc1ccccc1)[C@@H]1CN(Cc2nc3ccccc3[nH]2)CCO1
68379135,CCc1nn2c(C)cc(C)nc2c1Cc1ccc(cc1)-c1nnc(o1)C1CCNCC1
72548703,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(nc2CC2CCCCC2)C(=O)N[C@H]2C[C@@H](C2)C(O)=O)c2ccccc12
92640710,C(Cc1ccccc1)[C@H]1CN(Cc2nc3ccccc3[nH]2)CCO1
118016229,CCn1c(=O)n(CCC(F)(F)F)c2sc(C(=O)N3CCC(O)CC3)c(C)c2c1=O
127034966,CB1Nc2c(OCC(O)CN(C)C)cccc2C=C1
127034967,CB1Nc2cccc(OCC(O)CN(C)C)c2C=C1
135156251,FC(F)Oc1ccc(NC(=O)NC2CCN(CC2)c2ncnc3n(c(nc23)-c2ccccc2Cl)-c2ccc(Cl)cc2)cn1
137538548,C[C@H](Nc1nc(C(=O)N2CCC2)c2sccc2n1)c1cccnc1
137538569,Fc1cncc(CNc2nc(C(=O)N3CC(F)(F)C3)c3sccc3n2)c1
