PubChem CID,P0DMS8,P14416,P18901,P21728,P21917,P23977,P29274,P29275,P30542,P35462,P61169,Q60613
146490621,,,,,,,0.2,40.9,5.7,,,0.4
146490623,,,,,,,0.2,16.4,9.7,,,0.5
146490624,,,,,,,25,3804,681,,,123
146490625,,,,,,,88,1536,333,,,224
146490626,,,,,,,1.2,38,11.8,,,3.5
146490627,,,,,,,47,1724,19,,,120
146490628,,,,,,,0.5,21,3.5,,,0.8
146490629,,,,,,,0.2,12.2,7.9,,,0.2
146490631,,,,,,,20,408,45,,,31
146490632,,,,,,,5.2,72,18,,,15
146490633,,,,,,,41,38,8.6,,,263
146490634,,,,,,,18,235,15,,,39
146490635,,,,,,,36.7,259,9.6,,,189
146490636,,,,,,,7.9,206,6.6,,,13
146490637,,,,,,,19,12,24,,,41
146490639,10000,,,,,,59,73,23,,,59
146490640,10000,,,,,,56,65,42,,,70
146490641,10000,,,,,,6.9,2243,97,,,18
146490642,,,,,,,0.4,82,132,,,1.3
146490643,,,,,,,2.6,102,206,,,5.1
146490644,,,,,,,8,680,13,,,11
146490645,,,,,,,5.6,94,46.5,,,20
146490646,10000,,,,,,1.2,511,49,,,9.6
146490647,,,,,,,1.8,48,72,,,3.5
146490648,,,,,,,103,1112,779,,,170
146490649,,,,,,,8.5,80,162.5,,,51
146490650,,,,,,,0.6,146,66.7,,,9.5
146490651,,,,,,,0.1,23.3,16,,,3.9
146490652,,,,,,,0.3,93.5,67.7,,,2.6
146490653,,,,,,,0.4,80.5,42.4,,,16.5
146490655,,,,,,,0.2,44.5,71.5,,,2.9
146490662,7385.5,,,,,,0.55,2.25,22.15,,,0.4
146490664,10000,,,,,,63,17,21,,,182
146490665,10000,,,,,,1.35,56,10.1,,,0.8
146490669,,,,,,,29,2293,25,,,47
146490672,,,,,,,1,1631,34.1,,,5.7
146490673,,,,,,,139,10000,112,,,245
146490674,,,,,,,15,457,33,,,34
146490680,,,,,,,3.2,614,29,,,12
146490826,7294,,,,,,2.35,51.9,6.55,,,0.8
146490827,,,,,,,22,142,34,,,36
146490828,,,,,,,98,1554,37,,,179
146490829,,,,,,,56,3303,40,,,16
146490832,,,,,,,52,254,511,,,24
146490834,6436.5,,,,,,3.5,59.65,4.8,,,10
146490845,,,,,,,3.2,19,15.7,,,5.4
146490850,,,,,,,3.8,91,4.3,,,5.1
146490856,10000,,,,,,11,81,153,,,56
146490857,,,,,,,46,582,27,,,88
146490858,,,,,,,174,125,205,,,758
146490860,,,,,,,43,4794,22,,,51
146490861,10000,,,,,,102,303,23,,,88
146490862,,,,,,,58,631,12,,,162
146490863,10000,,,,,,28,270,78,,,41
146490864,,,,,,,7.7,2055,26,,,2.9
146490865,,,,,,,10.7,582,14.45,,,30
146490867,,,,,,,10.1,168,15.9,,,12
146490869,10000,,,,,,59,2951,162,,,98
146490872,,,,,,,5.9,160,16,,,25
146490873,,,,,,,27,173,35,,,23
146490876,10000,,,,,,2.45,29.2,6.4,,,3.4
146490881,,,,,,,158,6420,1146,,,217
146490882,,,,,,,18,10000,6935,,,109
146490903,,,,,,,0.7,45,28,,,0.9
146490904,,,,,,,49,9086,5323,,,164
146490905,,,,,,,4.8,68,7.4,,,13
146490906,,,,,,,11,102,8.9,,,6.4
146490907,,,,,,,37,1049,9.7,,,107
146490908,,,,,,,0.1,4.69,22,,,0.3
146490930,,,,,,,0.1,47.5,14,,,1
146490973,,,,,,,135,1262,1157,,,324
146490975,,,,,,,8.3,8109,264,,,30.3
146490977,,,,,,,4.3,97,13,,,5.9
146490978,,,,,,,795,10000,85.9,,,7192
146491025,,,,,,,5.15,51,7.2,,,17
146491030,,,,,,,7.9,253,8.8,,,19
146491093,,,,,,,16.1,122,13.35,,,42
146491094,,,,,,,122,1558,250,,,125
146491095,,,,,,,0.2,14,17,,,0.6
146491096,10000,,,,,,46,5003,214,,,316
146491099,,,,,,,94.6,602,16.05,,,318
146491100,,,,,,,19.1,109,57.5,,,346
146491101,10000,,,,,,102,1601,23,,,209
146491105,,,,,,,68,742,97,,,137
146491106,,,,,,,22,3199,13,,,21
146491141,,,,,,,1.7,38,31,,,17
146491142,,,,,,,3.6,186,25,,,4.9
149722760,75,,,,,,300,10,75,,,
149731152,500,,,,,,500,30,500,,,
149747008,500,,,,,,300,30,500,,,
149829430,30,,,,,,300,30,500,,,
149839126,75,,,,,,75,10,75,,,
149839786,300,,,,,,30,30,500,,,
149948258,500,,,,,,75,30,500,,,
149962429,500,,,,,,30,30,500,,,
150035258,300,,,,,,10,10,500,,,
150065885,500,,,,,,30,10,500,,,
150076898,300,,,,,,10,10,500,,,
150178864,500,,,,,,300,10,500,,,
150241455,75,,,,,,30,30,500,,,
150281250,500,,,,,,500,10,500,,,
150351504,500,,,,,,187.5,20,500,,,
150353293,500,,,,,,500,10,500,,,
150405538,30,,,,,,300,10,75,,,
150422416,75,,,,,,30,30,500,,,
150462760,75,,,,,,300,10,500,,,
150464095,300,,,,,,10,30,500,,,
150485018,500,,,,,,300,10,500,,,
150492407,500,,,,,,30,10,500,,,
150519134,75,,,,,,75,30,500,,,
150617787,300,,,,,,75,75,300,,,
150636423,300,,,,,,30,10,500,,,
150643007,500,,,,,,300,10,500,,,
150712203,500,,,,,,300,30,500,,,
150734726,500,,,,,,10,30,500,,,
150739622,75,,,,,,30,10,75,,,
150745370,500,,,,,,75,10,500,,,
150785059,75,,,,,,30,10,75,,,
150847004,500,,,,,,300,10,500,,,
150930360,500,,,,,,300,10,500,,,
151016954,500,,,,,,75,30,500,,,
151074861,300,,,,,,10,10,500,,,
151077614,500,,,,,,500,30,500,,,
151102361,500,,,,,,300,10,500,,,
151137925,75,,,,,,300,10,75,,,
151162257,75,,,,,,10,30,500,,,
151168187,30,,,,,,500,30,500,,,
151424138,300,,,,,,300,75,300,,,
151429893,500,,,,,,500,75,500,,,
151453552,30,,,,,,30,10,75,,,
151467681,500,,,,,,30,30,500,,,
151483328,300,,,,,,10,30,500,,,
151587887,500,,,,,,300,30,75,,,
151604290,75,,,,,,500,10,75,,,
151664222,500,,,,,,75,30,500,,,
151673550,500,,,,,,500,30,500,,,
151675446,300,,,,,,10,10,500,,,
151680263,500,,,,,,300,30,500,,,
151698511,2023,,,,,,5.7,479,26,,,
151746871,500,,,,,,300,10,500,,,
151794386,75,,,,,,75,30,500,,,
151891462,30,,,,,,30,30,75,,,
151898530,75,,,,,,75,30,500,,,
151991053,500,,,,,,30,10,75,,,
152083923,500,,,,,,75,75,500,,,
152121487,500,,,,,,300,10,500,,,
152123874,500,,,,,,500,30,500,,,
152186108,300,,,,,,30,30,300,,,
152333305,300,,,,,,30,10,500,,,
152369255,75,,,,,,500,30,500,,,
152409252,300,,,,,,75,75,300,,,
152514161,75,,,,,,30,300,300,,,
152586810,500,,,,,,500,30,500,,,
152590287,75,,,,,,300,10,500,,,
152723702,500,,,,,,300,10,500,,,
152733656,300,,,,,,30,30,500,,,
153637658,500,,,,,,300,30,500,,,
153637659,287.5,,,,,,52.5,30,500,,,
153637662,300,,,,,,10,30,500,,,
153637666,500,,,,,,300,30,500,,,
153637675,500,,,,,,500,30,500,,,
153637676,500,,,,,,500,30,500,,,
153637679,500,,,,,,300,30,500,,,
153637680,500,,,,,,500,75,500,,,
153637682,500,,,,,,300,30,500,,,
153637683,500,,,,,,500,10,500,,,
153637684,500,,,,,,300,10,500,,,
153637686,500,,,,,,300,30,500,,,
153637687,75,,,,,,75,30,500,,,
153637695,75,,,,,,300,30,500,,,
153637704,500,,,,,,300,30,500,,,
