PubChem CID,Ligand SMILES
11113605,Fc1ccc(CCC(=O)N2CCN(CCCC(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1
11154555,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)c2cccc(Cl)c2Cl)CC1
11209208,CCCC(N1CCCC1)C(=O)c1ccc(cc1)-c1cccs1
11220599,CCCC(N1CCCC1)C(=O)c1ccc(Br)cc1
11243002,CCCC(N1CCCC1)C(=O)c1ccc2ccccc2c1
11277680,CCCC(N1CCCC1)C(=O)c1ccc(NC(C)=O)cc1
11299968,CCCC(N1CCCC1)C(=O)c1ccc(OC)cc1
11304851,Oc1cc(cc2c1N=C(Nc1ccccc1Oc1ccccc1)NS2(=O)=O)[N+]([O-])=O
11311147,CCCC(N1CCCC1)C(=O)c1ccccc1C
11311148,CCC[C@H](N1CCCC1)C(=O)c1ccc(C)cc1
11311204,CCCC(N1CCCC1)C(=O)c1ccc(O)cc1
11357862,CCCC(N1CCCC1)C(=O)c1ccc(cc1)[N+]([O-])=O
11430418,Nn1c(CCCCN2CCN(CC2)c2ccc3ccccc3n2)nc2CCCCc2c1=O
11470616,CCCC(N1CCCC1)C(=O)c1cccc(C)c1
11530118,CCCC(N1CCCC1)C(=O)c1ccc(cc1)C(F)(F)F
11551780,CCC(CC(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1
11580039,CCC(CC(=O)c1ccc(C)cc1)N1CCCC1
11730467,Fc1ccc(cc1)C(CCCN1CCN(CC1)C(=O)CCCc1ccccc1)c1ccc(F)cc1
11743399,C[C@@H]1CN(Cc2ccc(F)cc2)CCN1C(=O)\C=C\c1ccc(Cl)cc1NC(C)=O
11794523,CCN1CCc2c(sc3ccccc23)C(C1)c1cccc(Br)c1
12128799,CCc1nc2n[nH]cc2c2nc(nn12)-c1ccccc1
12128800,CCCc1nc2n[nH]cc2c2nc(nn12)-c1ccccc1
12128801,CCCCc1nc2n[nH]cc2c2nc(nn12)-c1ccccc1
13154762,CN1CCN(CC1)C1CC(c2ccc(F)cc12)c1ccc(F)cc1
13891896,COc1c(O)c2-c3ccccc3C[C@H]3NCCc(c1OC)c23
13992155,COc1ccc(C[C@H]2N(C)CCc3cc(OC)c(OC)cc23)cc1Oc1ccc(C[C@H]2NCCc3cc(OC)c(OC)cc23)cc1
14137099,COc1ccc(C[C@@H]2N(C)CCc3cc(OC)c(OC)cc23)cc1Oc1ccc(C[C@H]2N(C)CCc3cc(OC)c(OC)cc23)cc1
14140118,COc1c(O)c2-c3ccccc3CC3N(C)CCc(c1OC)c23
