PubChem CID,P0DMS8,P9WID5,P09172,P14416,P15101,P18901,P19020,P20288,P21728,P21917,P21918,P22102,P23977,P25021,P25099,P27922,P28190,P29274,P29275,P29276,P30542,P30543,P31389,P31390,P32298,P34947,P35367,P35462,P43249,P43250,P46093,P47745,P47747,P49892,P55263,P61168,P61169,Q4KLH9,Q8BUD0,Q9GJT6,Q9H3N8,Q9JI35,Q9QYN8,Q9Y5N1,Q91ZY2,Q96NT5,Q01959,Q05754,Q60612,Q60613,Q60614,Q61327,Q61616,Q64640,Q64737,Q95136
167715,,,,500.5,,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,
169713,,,,10000,,,,,10000,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177725,,,,,,100,,,,,,,56750,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,
200521,,,,,,100000,,,,,,,5800,,,,,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,
332915,,,,,,4340,,4180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,
442108,,,,,,10000,10000,,,,,,4110,,,,,,,,,,,,,,,,,,,,,,,,10000,,,,,,,,,,,,,,,,,,,
442203,,,,,,800,,,,,,,41100,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,
443391,,,,1000,,,,,,1000,,,,,,,,,,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446220,,,,,,,,,,,,,139,,,102,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,287.5,,,,,200,,,,
448222,1.1,,,,,,,,,,,,,,108,,,9.85,,,0.20893,186.525,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,
449193,,,,,,,,,,,,,,,,,,1000,1000,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667838,,,33113.11,,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22056.5,,,,,,,,
743974,,,,30911.5,,,,,,,,,,,,,,,,,,,,,,,39811,,,,,,,,,,,,,,,,,,,,100000,,,,,,,,,
820836,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,100000,,,,,,,,,,,,
3033769,,,,50.9,,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,
3035523,,,2570.4,,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2585,,,,,,,,
3035672,,,,,,10000,,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,
3036864,,,,31,,1.005,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,5950,,,,,,,,,,,,,,,,,,,
3038495,,,,,,,0.565,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,26,,,,,,,,,,,,,,,,,,,
3201696,,,,,,,,,,,,,,20000,,,,,,,,,,,,,20000,,,,,,,,,,,,,,20000,,20000,900,,,,,,,,,,,,
3496768,,,,,,400,,,,,,,46000,,,,,,,,,,,,,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,
4355631,,,,,,,,,,,,,,,,,,27500,6500,,5300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4797946,,,,58005,,,,,,198,,,,,,,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4908365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,100000,40,,,,,,,,,,,
4913274,,,,,,23,,,,,,,306.5,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
5287736,,,,,,,,,,,,,,,,,,,,,,,,,260,160,,,440,490,,,,,,,,,,,,,,,,,,,,,,,,,,
5311200,,,,360,,,,,,24,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5464379,,,,,,12500,,,,,,,24100,,,,,,,,,,,,,,,,,,,,,,,,80000,,,,,,,,,,,,,,,,,,,
6439091,,,,,,,,,,,,,,,17.1,,,11300,980,,,11150,,,,,,,,,,1180,,,,,,,,,,,,,,,,,,,,,,,,
