PubChem CID,P0DMS8,P14416,P18901,P19020,P20288,P21728,P21917,P21918,P23977,P25021,P25099,P29274,P29275,P30542,P30543,P31390,P35367,P35462,P46093,P47745,P47747,P61168,P61169,Q4KLH9,Q8BUD0,Q9H3N8,Q9QYN8,Q9Y5N1,Q01959,Q60613,Q95136
118016229,6700,,,,,,,,,,,820,59,1300,750,,,,,,,,,,,,,,,470,
127034966,5012,5012,,,,5012,,,,,,5012,,,,,,,,,,,,,,,,,,,
127034967,5012,5012,,,,5012,,,,,,5012,,,,,,,,,,,,,,,,,,,
135156251,,10000,,,,10000,,,,10000,,10000,,,,,10000,,,,,,,,,,,,10000,,
137538548,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137538569,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137538576,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
137538578,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137538587,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137538613,75,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137538620,500,,,,,,,,,,,500,10,500,,,,,,,,,,,,,,,,,
137538663,500,,,,,,,,,,,300,10,500,,,,,,,,,,,,,,,,,
137538676,500,,,,,,,,,,,500,30,75,,,,,,,,,,,,,,,,,
137538682,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137538697,500,,,,,,,,,,,75,10,500,,,,,,,,,,,,,,,,,
137538707,500,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
137538724,500,,,,,,,,,,,30,500,500,,,,,,,,,,,,,,,,,
137538726,500,,,,,,,,,,,300,30,300,,,,,,,,,,,,,,,,,
137538728,500,,,,,,,,,,,75,30,500,,,,,,,,,,,,,,,,,
137538729,75,,,,,,,,,,,30,10,75,,,,,,,,,,,,,,,,,
137538730,500,,,,,,,,,,,30,30,500,,,,,,,,,,,,,,,,,
137538737,500,,,,,,,,,,,300,30,500,,,,,,,,,,,,,,,,,
137538752,300,,,,,,,,,,,30,10,500,,,,,,,,,,,,,,,,,
137538767,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137538770,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137538787,500,,,,,,,,,,,75,30,500,,,,,,,,,,,,,,,,,
137538795,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
137538808,500,,,,,,,,,,,500,30,500,,,,,,,,,,,,,,,,,
